sample_id,x,y
N0037,0.797747,3.91678
N0061,1.17688,4.59703
N0100,2.942566,1.571926
N0112,2.977417,0.831659
N0141,-2.509563,-7.786437
N0024,2.089067,1.461863
N0249,-2.737107,-9.849937
N0253,1.824397,3.580488
N0158,1.716442,5.887677
N0120,1.279379,3.257082
N0269,-2.84419,-12.382522
N0148,-1.789641,-7.523816
N0013,-0.558849,-0.530984
N0208,0.190222,2.245834
N0165,3.267168,-0.107982
N0139,-0.662692,-1.634791
N0260,0.991507,6.266048
N0298,-2.298856,-7.483742
N0191,-2.379731,-5.812927
N0193,-0.897356,-1.220333
N0234,3.24594,0.412497
N0095,1.920421,3.648186
N0002,2.130865,1.250678
N0116,1.953741,2.09483
N0001,-0.600132,1.368893
N0099,-2.809338,-10.386347
N0169,-0.285113,1.39188
N0247,-2.873986,-15.258007
N0106,2.618537,0.560706
N0251,3.334428,1.537566
N0261,1.132546,3.9597
N0133,1.660085,4.378211
N0280,2.573778,2.486189
N0138,-1.555664,-2.946524
N0038,2.521553,-1.199175
N0110,-2.525693,-9.259287
N0213,0.814936,4.496159
N0041,-1.66986,-5.264063
N0083,-2.852834,-11.753554
N0285,0.514683,5.102869
N0072,-1.248979,-3.10614
N0265,3.20892,-1.085481
N0288,-2.602192,-8.759628
N0085,0.956387,3.5892
N0093,0.394698,3.981098
N0183,0.767214,4.32781
N0186,-1.814269,-6.49303
N0295,1.501355,3.714771
N0046,-2.541369,-7.875453
N0172,-1.913471,-5.768009
N0201,2.945688,1.049222
N0171,3.344596,2.314561
N0184,0.401715,2.755069
N0021,3.480887,-0.756859
N0297,2.883508,0.452327
N0181,2.607537,0.803186
N0075,0.30948,2.016256
N0146,0.952209,4.344501
N0299,-2.823843,-12.7186
N0005,-0.325909,2.259268
N0142,-0.662645,0.834709
N0281,3.073469,-0.524114
N0240,1.075809,3.480547
N0035,2.77605,2.842669
N0151,-2.563707,-6.974794
N0058,-2.324988,-8.023794
N0063,0.019349,2.333324
N0065,-0.069074,-0.629216
N0258,-0.085147,-0.913875
N0168,1.38895,5.217486
N0047,-3.298736,-17.061116
N0206,0.816739,6.029604
N0210,-3.392,-18.431441
N0199,0.289006,2.790782
N0173,-2.36178,-6.81204
N0164,3.378538,1.25595
N0296,-1.990017,-4.322795
N0019,-2.09726,-6.046032
N0053,-0.693736,-1.241563
N0279,-2.10787,-4.121757
N0090,1.601006,3.414835
N0175,-3.089442,-13.762148
N0022,2.98643,0.009387
N0221,-1.497165,-5.005851
N0188,3.194824,0.778707
N0111,1.131259,5.262731
N0087,2.741128,1.775635
N0149,-0.957176,-1.52258
N0117,1.896163,1.513178
N0092,-0.232462,1.428409
N0291,-3.158388,-15.946153
N0275,-1.459726,-3.686579
N0011,-1.265379,-3.724809
N0006,-0.267612,0.089514
N0132,2.676172,3.830156
N0180,3.353235,0.906481
N0030,-0.240418,0.08024
N0077,1.50033,5.465165
N0144,-0.639255,-1.627492
N0086,0.983701,4.892337
N0143,0.713849,4.086648
N0066,0.139788,4.108095
N0220,0.976982,5.93925
N0034,0.9304,3.468054
N0153,0.943008,6.324357
N0125,2.340275,1.810606
N0217,-0.139722,1.396963
N0294,2.305162,1.231053
N0008,-1.253707,-2.775998
N0245,-0.663903,-1.846299
N0248,1.218064,6.226891
N0123,-0.547965,-0.253887
N0124,-0.544707,-2.099363
N0155,0.182019,3.338284
N0185,-3.047374,-14.783567
N0017,0.591749,3.11513
N0059,-2.05256,-7.953864
N0282,2.560012,1.278864
N0230,-0.364476,-1.230638
N0040,-2.63596,-11.753092
N0293,2.992211,0.830028
N0109,-1.236776,-2.47346
N0163,0.821971,5.347509
N0027,2.257778,1.588812
N0203,-3.001321,-13.183933
N0014,-3.074615,-13.148169
N0216,0.625402,3.645349
N0048,-0.159836,1.201066
N0050,3.094749,-0.002177
N0045,0.938628,3.492994
N0215,2.230646,0.961554
N0182,0.936973,3.908648
N0287,0.684832,3.078023
N0268,-0.532187,0.612618
N0009,0.982248,5.693142
N0263,3.393753,3.029181
N0284,2.893338,-0.085298
N0003,-3.306521,-13.810944
N0129,-1.631347,-3.816214
N0098,1.194672,2.691431
N0064,0.55633,4.719926
N0104,0.334288,4.089397
