observation_id,x,sensor_quality,post_event_target_proxy,y
P0231,-2.603352,0.825409,17.972458,17.978508
P0187,1.73813,0.66316,5.455412,5.471248
P0072,0.44893,0.80845,11.173495,11.11752
P0120,1.583199,0.659115,7.332363,7.313333
P0024,-1.679972,0.782383,13.228838,13.255207
P0235,-1.019949,0.699739,12.355688,12.376149
P0174,-1.213883,0.66193,10.342482,10.295216
P0028,-3.16028,0.946075,21.757004,21.720375
P0212,-3.042109,0.767699,19.993599,19.846111
P0123,-0.27075,0.756324,6.720095,6.663561
P0186,-0.333054,0.708128,7.390719,7.394965
P0201,-2.041523,0.989681,15.792294,15.63003
P0126,-3.294522,0.888664,18.918924,18.863088
P0179,2.860081,0.712317,5.728282,5.730706
P0094,2.38265,0.761773,3.14748,3.054589
P0181,3.667198,0.862578,9.251091,9.265054
P0038,-3.030971,0.950046,17.750223,17.576054
P0249,2.983671,0.94288,5.889665,5.812482
P0010,3.016821,0.703857,4.396247,4.48011
P0088,-3.505735,0.827481,23.766447,23.817063
P0068,0.517435,0.945478,8.861779,8.704074
P0059,1.337409,0.845039,4.017689,4.09062
P0183,-0.906216,0.995724,7.40891,7.291619
P0184,1.924055,0.672804,7.013271,6.99349
P0198,-3.446818,0.655511,23.769514,23.725362
P0027,2.239525,0.794949,7.095164,7.118052
P0064,-3.540911,0.76967,23.736173,23.79973
P0169,2.987579,0.693609,6.637866,6.625505
P0105,3.760858,0.841915,5.854823,5.975236
P0166,3.871057,0.73838,6.823561,6.856147
P0220,-3.019687,0.671341,22.350493,22.441412
P0098,-1.79308,0.726926,13.05379,13.135773
P0062,-3.443998,0.990154,21.991861,21.865958
P0036,-2.190452,0.930417,17.182683,17.153072
P0060,0.457986,0.882519,6.717494,6.845436
P0190,1.667495,0.827077,4.525621,4.534865
P0045,0.693422,0.799649,7.793789,7.821795
P0079,2.592263,0.662977,3.570285,3.459685
P0110,-3.602629,0.823794,20.857253,20.897862
P0204,-0.853705,0.667849,4.238348,4.214137
P0025,2.104339,0.74581,6.428166,6.384742
P0114,-1.745066,0.854268,14.040895,14.132734
P0069,-1.153305,0.984525,10.18356,10.036615
P0097,2.209657,0.678255,3.45237,3.407236
P0031,2.649051,0.790729,6.312822,6.271551
P0189,-1.763287,0.96728,12.955533,12.925325
P0058,2.662811,0.726923,4.37986,4.417147
P0063,-1.751915,0.714186,14.866564,14.802627
P0177,-1.966336,0.719556,13.46583,13.495591
P0008,0.386566,0.884203,9.173316,9.154559
P0135,-2.736687,0.677935,21.927443,21.795777
P0162,0.146156,0.819747,9.279454,9.239992
P0254,-0.654745,0.695751,8.711831,8.730683
P0084,3.577221,0.757803,7.578051,7.508597
P0046,-0.145102,0.742616,7.052821,6.975433
P0188,3.392187,0.703852,9.48146,9.371448
P0133,2.334721,0.65351,1.79512,1.781751
P0065,3.241812,0.673576,7.545298,7.563124
P0192,0.289385,0.926105,9.03559,8.94092
P0066,2.321175,0.99918,7.171258,7.267968
P0155,0.046127,0.743818,6.42923,6.448001
P0004,-3.534432,0.972393,21.111155,21.111464
P0144,-1.756245,0.789571,12.634447,12.644463
P0255,2.813373,0.651135,5.564383,5.579059
P0044,-0.85167,0.668642,5.963554,5.981758
P0171,-1.249223,0.910234,9.21866,9.192599
P0138,1.25715,0.65041,10.128858,10.054074
P0243,3.985136,0.70139,7.676636,7.652525
P0083,0.865402,0.677149,11.388762,11.303124
P0219,-0.385621,0.704694,5.631593,5.715522
P0006,2.826638,0.65305,3.573846,3.675177
P0053,0.763034,0.879252,7.593475,7.579422
P0203,1.083256,0.824214,9.135137,9.016392
P0001,0.982376,0.83036,7.590568,7.569443
P0244,-3.010333,0.866659,19.243355,19.233192
