customer_id,segment,monthly_spend,support_calls,converted
C00001,plus,123.0966,5,0
C00002,premium,62.2113,1,0
C00003,basic,35.5859,0,0
C00004,basic,35.7469,1,0
C00005,basic,44.2728,0,0
C00006,basic,13.1772,1,0
C00007,basic,16.4512,1,0
C00008,basic,40.1167,0,0
C00009,basic,33.2829,3,0
C00010,basic,55.2903,0,0
C00011,basic,56.362,1,0
C00012,basic,43.5654,2,0
C00013,plus,28.6163,1,0
C00014,basic,17.2241,0,0
C00015,plus,22.6225,1,1
C00016,basic,18.4578,1,0
C00017,basic,63.5372,0,0
C00018,plus,18.9613,2,0
C00019,basic,60.9408,1,0
C00020,plus,26.2864,2,0
C00021,premium,11.5175,2,0
C00022,premium,102.8058,1,0
C00023,basic,21.3437,1,0
C00024,plus,91.4543,2,0
C00025,premium,70.9763,0,0
C00026,basic,38.6167,0,0
C00027,premium,31.3319,0,0
C00028,basic,25.1164,0,0
C00029,premium,21.7185,1,0
C00030,plus,17.8277,0,0
C00031,basic,32.3583,0,0
C00032,basic,67.1481,0,1
C00033,premium,18.4577,1,0
C00034,basic,34.4078,1,0
C00035,basic,9.8053,0,0
C00036,basic,20.1591,0,0
C00037,plus,34.6296,2,1
C00038,basic,48.5802,1,0
C00039,basic,36.9076,1,0
C00040,premium,43.9907,2,1
C00041,basic,28.9257,1,1
C00042,basic,69.3522,0,0
C00043,premium,26.1538,3,1
C00044,plus,41.463,1,0
C00045,basic,23.0556,0,0
C00046,plus,11.3077,1,0
C00047,basic,40.5743,1,0
C00048,premium,47.69,1,0
C00049,basic,26.7539,1,0
C00050,premium,54.3609,4,1
C00051,plus,18.0209,1,0
C00052,plus,68.2233,1,0
C00053,basic,57.0755,1,0
C00054,plus,29.5785,4,0
C00055,basic,46.2474,2,0
C00056,plus,55.7771,0,0
C00057,basic,10.3317,3,0
C00058,basic,16.3851,1,0
C00059,plus,39.7569,1,0
C00060,plus,32.999,1,0
C00061,plus,36.8537,2,0
C00062,basic,16.4635,1,0
C00063,plus,42.1523,1,0
C00064,basic,28.5217,1,1
C00065,premium,83.7042,0,0
C00066,plus,15.2179,1,1
C00067,basic,18.4323,0,0
C00068,basic,34.1578,2,0
C00069,basic,59.416,1,0
C00070,basic,17.6296,1,0
C00071,plus,39.7221,3,1
C00072,basic,22.7481,2,0
C00073,plus,33.6137,0,0
C00074,plus,24.5177,1,0
C00075,basic,24.7313,0,0
C00076,basic,46.1876,2,1
C00077,basic,40.9135,2,0
C00078,basic,51.0491,1,0
C00079,basic,40.5869,0,0
C00080,premium,17.3064,2,0
C00081,plus,24.8547,3,0
C00082,plus,45.8406,2,1
C00083,basic,42.2669,2,0
C00084,basic,13.822,0,0
C00085,basic,64.3586,0,0
C00086,plus,21.0291,0,0
C00087,basic,23.153,1,0
C00088,basic,27.5492,0,0
C00089,basic,12.2947,0,0
C00090,basic,30.8854,0,0
C00091,basic,8.4141,3,1
C00092,basic,14.2151,2,0
C00093,premium,48.031,1,0
C00094,basic,52.5744,1,0
C00095,plus,49.8571,1,0
C00096,plus,31.1074,1,0
C00097,plus,59.7547,0,1
C00098,basic,17.2397,1,0
C00099,basic,20.6403,1,0
C00100,basic,44.5861,3,0
C00101,basic,15.3403,0,0
C00102,basic,48.1378,0,0
C00103,basic,19.5277,2,0
C00104,basic,20.7221,1,0
C00105,premium,58.3289,4,0
C00106,basic,29.5321,0,0
C00107,premium,65.0767,2,0
C00108,plus,18.2985,1,1
C00109,plus,61.7708,0,0
C00110,basic,27.4916,0,0
C00111,basic,23.6863,0,0
C00112,basic,57.9374,2,0
C00113,premium,108.4369,3,1
C00114,plus,51.7045,0,1
C00115,basic,18.1006,1,0
C00116,basic,18.5669,1,0
C00117,basic,35.7736,0,1
C00118,plus,20.5614,2,0
C00119,basic,43.9267,1,1
C00120,basic,16.9398,2,0
C00121,basic,54.5761,0,1
C00122,basic,59.987,1,0
C00123,basic,48.2186,0,1
C00124,basic,84.2739,1,0
C00125,basic,90.8514,1,1
C00126,premium,15.7575,1,0
C00127,plus,88.2609,1,0
C00128,basic,32.3978,1,1
C00129,premium,65.7561,2,0
C00130,basic,19.5605,2,0
C00131,basic,44.9431,3,1
C00132,basic,16.6567,0,0
C00133,basic,71.3868,0,0
C00134,basic,19.4466,2,0
C00135,basic,39.7344,1,1
C00136,plus,32.4648,2,0
C00137,basic,24.6396,2,0
C00138,basic,27.2139,2,0
C00139,basic,15.4305,2,0
C00140,basic,34.5386,1,0
C00141,premium,47.1232,5,1
C00142,basic,20.7313,2,0
C00143,premium,108.0159,4,0
C00144,plus,17.3227,1,0
C00145,basic,15.7459,0,0
C00146,plus,166.9662,0,1
C00147,basic,18.1312,1,0
